prompt,completion
[Clickbait]: THE DETECTIVE - English Movie | Holywood Blockbuster English Action Crime Movie HD | Jason Statham [Unassuming and Terse]: ,The detective - Holywood blockbuster english action crime movie HD | Jason Statham
[Clickbait]: The Disaster Of The Sims 4 [Unassuming and Terse]: ,Sims 4 mistake
[Clickbait]: The Disturbing Effect of Child Neglect [Unassuming and Terse]: ,The impact of child neglect
"[Clickbait]: the entire history of 2b2t's End, i guess [Unassuming and Terse]: ","the entire history of 2b2t's End, i guess"
[Clickbait]: The fastest Blitzball tournament ever played... [Unassuming and Terse]: ,Fastest blitzball tournament
[Clickbait]: The friendship recession | Richard Reeves [Unassuming and Terse]: ,The friendship recession | John Smith
[Clickbait]: THE KING - Hollywood English Movie | Hollywood War Action Movies In English Full HD | Jason Statham [Unassuming and Terse]: ,The King - Hollywood english movie | Jason Statham
[Clickbait]: The Most Beautiful Roti Lady In Chiang Mai Thailand #shorts [Unassuming and Terse]: ,Roti Lady in Chiang Mai Thailand
[Clickbait]: The Prophet Isa's (Alayhi As-Salam) Miracle of “Bringing the Dead into Life” | Ramadan Kareem [Unassuming and Terse]: ,Bringing back the dead during Ramadan
[Clickbait]: The SECRET To Stop Blundering Your Pieces In Chess [Unassuming and Terse]: ,How to Avoid Mistakes in Chess.
[Clickbait]: The Ultimate Poker Golf Challenge! [Unassuming and Terse]: ,Poker Golf Challenge
[Clickbait]: THE WEEKND  GREATEST HITS 2023 [Unassuming and Terse]: ,The Weeknd: 2023 hits
[Clickbait]: Things Get Awkward In The Tank With Pashion Footwear  | Shark Tank US | Shark Tank Global [Unassuming and Terse]: ,Pashion footwear | Shark Tank US | Shark Tank Global
[Clickbait]: this NASTY shoulder move stopped all but 1 climber... #bouldering #strongshoulders [Unassuming and Terse]: ,Tough shoulder move in climbing
[Clickbait]: This thing is CRAZY 🤯 #shorts [Unassuming and Terse]: ,Insane object #shorts
[Clickbait]: Thrift Store Makeovers #15 [Unassuming and Terse]: ,Thrift Store Makeovers #15
[Clickbait]: Tiger Chained Up Her Whole Life Takes Her First Free Steps | The Dodo [Unassuming and Terse]: ,Domesticated tiger walks free
"[Clickbait]: TIKTOKER KICKED OUT Of LUXURY CAR DEALERSHIP, What Happens Is Shocking | Dhar Mann [Unassuming and Terse]: ",Someone was asked to leave a fancy car dealership and it was surprising
[Clickbait]: TIKTOKS you NEED to watch [Try Not To Laugh Tik Tok 6] [Unassuming and Terse]: ,Funny TikToks for your viewing
[Clickbait]: Top 10 E3 Conferences of all Time [Unassuming and Terse]: ,Top 10 E3 conferences
[Clickbait]: TOP 5 Fastest WINS in the Bishop's Opening [Unassuming and Terse]: ,Quick wins in Bishop's Opening
[Clickbait]: Vico C - Pregúntale a Tu Papá Por Mi (Video Oficial) - 4K [Unassuming and Terse]: ,Video Oficial de Vico C - Pregúntale a Tu Papá Por Mi
[Clickbait]: Want to DOUBLE your chess elo? [Unassuming and Terse]: ,Chess Improvement Tips
"[Clickbait]: WARMEST WATER EVER! SWEATING WHILE SURFING EPIC WAVES, HAWAII [Unassuming and Terse]: ",Surfing in Warm Water
[Clickbait]: Was Michael Jackson's hair catching fire in a Pepsi ad the exact mid-point of his life? [Unassuming and Terse]: ,Michael Jackson and the Pepsi commercial incident
[Clickbait]: WATCH LIVE: Latest News Headlines and Events | ABC News Live [Unassuming and Terse]: ,Live: ABC news live headlines and events
[Clickbait]: We are ADOPTING a baby! [Unassuming and Terse]: ,Adopting a baby
[Clickbait]: We brought Hasbulla to the USA! [Unassuming and Terse]: ,Bringing Hasbulla to the United States.
[Clickbait]: We Built a NIGHT ONLY City in Minecraft [Unassuming and Terse]: ,Minecraft night city build
[Clickbait]: We Pranked The Mona Lisa [Unassuming and Terse]: ,Mona Lisa trick
[Clickbait]: We Robbed A Bank [Unassuming and Terse]: ,A Bank robbery
[Clickbait]: We tried the best rated climbing gym in LA  //  ft. Geek Climber [Unassuming and Terse]: ,Trying a climbing gym in LA with Geek Climber
[Clickbait]: What Archaeological Sites Used To Actually Look Like [Unassuming and Terse]: ,What archaeological sites used to look like
[Clickbait]: What Did NASA Discover in Latest Photos from Pluto? [Unassuming and Terse]: ,NASA discoveries from Pluto photos
[Clickbait]: What I wore in Korea [Unassuming and Terse]: ,My Outfits in South Korea
[Clickbait]: What's in my BACKPACK + WATER BOTTLE SHOPPiNG 2022!! Back to School [Unassuming and Terse]: ,Back to school shopping
[Clickbait]: When Dungeon Masters ARN’T Voice Actors #shorts [Unassuming and Terse]: ,Dungeon Masters without voice acting #shorts
[Clickbait]: Why 80% of New Zealand is Empty [Unassuming and Terse]: ,Why are there so many empty New Zealand regions?
[Clickbait]: Why Asian kids don't get Bs [Unassuming and Terse]: ,Why Asian kids don't get Bs
[Clickbait]: Why China's population is shrinking [Unassuming and Terse]: ,China's population decrease explained
[Clickbait]: Why Ralph Barbosa Gave His Doctor a One-Star Review - Stand-Up Featuring [Unassuming and Terse]: ,Why Ralph Barbosa disliked his doctor
"[Clickbait]: Will An Ex Convict Return $20,000 Rolex? [Unassuming and Terse]: ",An ejkx convict has a Rolex
[Clickbait]: WILL THIS DRIFT TRIKE WORK ON GRASS?? [Unassuming and Terse]: ,Drift trike grass test
[Clickbait]: Win for Charity [Unassuming and Terse]: ,Win for Charity
[Clickbait]: Work Music — Elevate Productivity with Chillout Vibes [Unassuming and Terse]: ,Chill work music for productivity
[Clickbait]: World of Warships - Hybrid Theory [Unassuming and Terse]: ,World of Warships - Hybrid theory
[Clickbait]: WOULD YOU HUG ME?🥺 #shorts [Unassuming and Terse]: ,Shorts about hugs
[Clickbait]: The cheat code of dynamic climbing #bouldering [Unassuming and Terse]: ,Techniques for dynamic bouldering
[Clickbait]: Luckiest People Alive! [Unassuming and Terse]: ,People who have been fortunate.
[Clickbait]: He Lost In 3 Seconds [Unassuming and Terse]: ,Man gets defeated quickly
[Clickbait]: This is not sped up. [Unassuming and Terse]: ,This video is in real time.
"[Clickbait]: Most people have Stiff BACKS, here's how to fix. [Unassuming and Terse]: ",A guide to fixing stiff backs
[Clickbait]: Most insane Adam Ondra strength Challenge! [Unassuming and Terse]: ,Adam Ondra Demonstrates Impressive Physical Prowess
"[Clickbait]: [552] ""Pickproof"" Dual Cylinder Disc Brake Lock Picked [Unassuming and Terse]: ",[552] Dual cylinder disc brake lock picked
[Clickbait]: Using an Out-of-Control Car to Calculate π. [Unassuming and Terse]: ,Calculating π with a car
[Clickbait]: I Paid Two Private Investigators To Follow Each Other [Unassuming and Terse]: ,Two Investigators Followed Each Other
[Clickbait]: The Most Difficult Stunt We Have Attempted [Unassuming and Terse]: ,Attempting a Challenging Stunt
[Clickbait]: LIVING in a PORSCHE full-time &amp; attempting Hell's Gate in Moab! [Unassuming and Terse]: ,Daily vlogging while driving a luxury car and attempting a trail in Utah
[Clickbait]: How to Buy a Car To Flip for a Profit ($$$ Side Hustle) [Unassuming and Terse]: ,Making a profit in car retail
"[Clickbait]: Asking Monaco Millionaires How To Make $1,000,000 [Unassuming and Terse]: ",Financial Advice from Monaco Millionaires
[Clickbait]: Tesla Model X PLAID v Ferrari SF90 v Lambo SVJ: DRAG RACE [Unassuming and Terse]: ,Comparison of Electric and Gasoline Cars in Drag Racing
[Clickbait]: Driving A Tesla Upside-Down (10ft Tall Wheels) [Unassuming and Terse]: ,Car Tricks
[Clickbait]: This bridge should not be possible to climb [Unassuming and Terse]: ,Unlikely bridge ascent
"[Clickbait]: I Ate A $70,000 Golden Pizza [Unassuming and Terse]: ",Golden Pizza Consumption
[Clickbait]: How ASIAN Parents Clean Your Room [Unassuming and Terse]: ,CRoom cleaning techniques used by Asian parents
